CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
12346,326,15,264.8600000000006,2,4,1,7,1,At Risk
12347,2,8,5633.32,4,3,4,11,1,At Risk
12348,75,5,1658.3999999999999,3,3,3,9,1,At Risk
12349,19,4,3654.54,4,2,4,10,1,At Risk
12350,310,1,294.40000000000003,2,1,1,4,2,Lost
12351,375,1,300.93,2,1,1,4,2,Lost
12352,36,10,1609.21,3,4,3,10,1,At Risk
12353,204,2,406.76,2,1,2,5,0,New / Promising
12354,232,1,1079.4,2,1,3,6,0,New / Promising
12355,214,2,947.61,2,1,3,6,0,New / Promising
12356,23,6,5613.68,4,3,4,11,1,At Risk
12357,33,2,17437.66,3,1,4,8,1,At Risk
12358,2,5,3447.07,4,3,4,11,1,At Risk
12359,8,14,8714.89,4,4,4,12,3,Champions
12360,52,6,3612.89,3,3,4,10,1,At Risk
12361,287,4,451.25,2,2,2,6,0,New / Promising
12362,3,13,4665.58,4,4,4,12,3,Champions
12363,110,2,552.0,2,1,2,5,0,New / Promising
12364,8,4,1208.1,4,2,3,9,1,At Risk
12365,291,1,320.69,2,1,1,4,0,New / Promising
12366,634,1,500.24,1,1,2,4,2,Lost
12367,4,1,150.9,4,1,1,6,0,New / Promising
12368,628,1,917.7,1,1,3,5,2,Lost
12369,413,3,1511.15,1,2,3,6,2,Lost
12370,51,7,3960.31,3,3,4,10,1,At Risk
12371,60,4,3347.38,3,2,4,9,1,At Risk
12372,72,3,1196.04,3,2,3,8,1,At Risk
12373,311,3,927.6500000000001,2,2,3,7,1,At Risk
12374,25,3,2669.2200000000003,4,2,4,10,1,At Risk
12375,3,3,375.42,4,2,2,8,0,New / Promising
12376,390,2,383.15,1,1,2,4,2,Lost
12377,315,4,3266.32,2,2,4,8,1,At Risk
12378,130,2,5416.32,2,1,4,7,1,At Risk
12379,82,5,1468.27,3,3,3,9,1,At Risk
12380,22,10,7171.0,4,4,4,12,3,Champions
12381,5,4,1433.46,4,2,3,9,1,At Risk
12382,682,1,-18.38,1,1,1,3,2,Lost
12383,185,6,1617.31,2,3,3,8,1,At Risk
12384,29,3,406.16,3,2,2,7,0,New / Promising
12385,379,1,1668.4,2,1,3,6,2,Lost
12386,338,2,660.8000000000001,2,1,2,5,2,Lost
12387,415,1,143.94,1,1,1,3,2,Lost
12388,16,8,3901.11,4,3,4,11,1,At Risk
12389,403,3,1433.33,1,2,3,6,2,Lost
12390,80,1,504.84000000000003,3,1,2,6,0,New / Promising
12391,22,7,2747.82,4,3,4,11,1,At Risk
12392,591,1,234.75000000000003,1,1,1,3,2,Lost
12393,72,7,2376.75,3,3,4,10,1,At Risk
12394,64,2,1080.48,3,1,3,7,0,New / Promising
12395,16,18,4530.92,4,4,4,12,3,Champions
12396,674,1,931.4300000000001,1,1,3,5,2,Lost
12397,36,2,2214.9,3,1,4,8,1,At Risk
12398,46,1,1435.66,3,1,3,7,0,New / Promising
12399,119,7,1842.3,2,3,3,8,1,At Risk
12400,414,1,205.25,1,1,1,3,2,Lost
12401,303,1,69.3,2,1,1,4,2,Lost
12402,323,7,1124.15,2,3,3,8,1,At Risk
12403,50,2,947.36,3,1,3,7,0,New / Promising
12404,682,1,63.24,1,1,1,3,2,Lost
12405,149,1,1390.39,2,1,3,6,0,New / Promising
12406,22,7,6072.21,4,3,4,11,1,At Risk
12407,50,5,1507.12,3,3,3,9,1,At Risk
12408,33,13,3859.64,3,4,4,11,3,Champions
12409,79,13,23090.47,3,4,4,11,3,Champions
12410,301,4,761.46,2,2,2,6,1,At Risk
12411,410,1,346.9,1,1,2,4,2,Lost
12412,75,8,2389.03,3,3,4,10,1,At Risk
12413,67,5,861.5,3,3,3,9,1,At Risk
12414,217,5,442.41,2,3,2,7,1,At Risk
12415,24,28,143107.02,4,4,4,12,3,Champions
12416,657,1,202.56,1,1,1,3,2,Lost
12417,3,27,5909.21,4,4,4,12,3,Champions
12418,113,5,2016.95,2,3,3,8,1,At Risk
12419,386,2,391.01,1,1,2,4,2,Lost
12420,64,1,600.39,3,1,2,6,0,New / Promising
12421,16,7,869.6,4,3,3,10,1,At Risk
12422,96,12,3639.35,2,4,4,10,3,Champions
12423,1,11,2291.19,4,4,4,12,1,At Risk
12424,163,7,3289.7799999999997,2,3,4,9,1,At Risk
12425,78,3,1680.81,3,2,3,8,1,At Risk
12426,195,3,1167.41,2,2,3,7,1,At Risk
12427,12,5,831.87,4,3,2,9,1,At Risk
12428,26,11,6366.0,3,4,4,11,3,Champions
12429,9,9,6929.51,4,4,4,12,3,Champions
12430,43,1,216.4,3,1,1,5,0,New / Promising
12431,36,31,10389.41,3,4,4,11,3,Champions
12432,43,4,4359.32,3,2,4,9,1,At Risk
12433,1,10,20581.260000000002,4,4,4,12,3,Champions
12434,85,5,1062.48,3,3,3,9,1,At Risk
12435,80,6,13925.93,3,3,4,10,3,Champions
12436,100,1,429.01,2,1,2,5,0,New / Promising
12437,2,45,11011.85,4,4,4,12,3,Champions
12438,14,2,2466.85,4,1,4,9,1,At Risk
12439,683,3,1104.48,1,2,3,6,2,Lost
12440,457,3,648.15,1,2,2,5,2,Lost
12441,367,1,311.1,2,1,1,4,2,Lost
12442,3,1,144.06,4,1,1,6,0,New / Promising
12443,732,1,365.31,1,1,2,4,2,Lost
12444,21,5,4085.46,4,3,4,11,1,At Risk
12445,22,3,370.48,4,2,2,8,0,New / Promising
12446,58,1,1002.3100000000001,3,1,3,7,0,New / Promising
12447,243,1,431.49,2,1,2,5,0,New / Promising
12448,44,1,365.45,3,1,2,6,0,New / Promising
12449,22,5,4274.89,4,3,4,11,1,At Risk
12450,156,7,666.95,2,3,2,7,1,At Risk
12451,11,10,12506.53,4,4,4,12,3,Champions
12452,17,1,348.57,4,1,2,7,0,New / Promising
12453,134,1,707.09,2,1,2,5,0,New / Promising
12454,53,8,4072.71,3,3,4,10,1,At Risk
12455,73,9,5722.95,3,4,4,11,3,Champions
12456,44,4,2553.89,3,2,4,9,1,At Risk
12457,58,13,2032.31,3,4,3,10,1,At Risk
12458,71,4,1502.49,3,2,3,8,1,At Risk
12459,605,1,398.36,1,1,2,4,2,Lost
12460,456,1,296.65,1,1,1,3,2,Lost
12461,155,1,626.88,2,1,2,5,0,New / Promising
12462,2,4,872.01,4,2,3,9,1,At Risk
12463,46,6,1165.63,3,3,3,9,1,At Risk
12464,10,8,957.05,4,3,3,10,1,At Risk
12465,8,3,673.89,4,2,2,8,0,New / Promising
12466,682,1,56.73,1,1,1,3,2,Lost
12467,386,2,0.0,1,1,1,3,2,Lost
12468,143,10,3192.55,2,4,4,10,1,At Risk
12469,523,2,3070.54,1,1,4,6,2,Lost
12470,690,1,211.95,1,1,1,3,2,Lost
12471,2,121,33364.61,4,4,4,12,3,Champions
12472,31,37,15570.69,3,4,4,11,3,Champions
12473,54,4,2555.77,3,2,4,9,1,At Risk
12474,17,52,10904.45,4,4,4,12,3,Champions
12475,54,2,1065.64,3,1,3,7,0,New / Promising
12476,1,33,11951.62,4,4,4,12,3,Champions
12477,23,12,20173.64,4,4,4,12,3,Champions
12478,4,1,545.99,4,1,2,7,0,New / Promising
12479,4,3,423.3,4,2,2,8,0,New / Promising
12480,28,8,4805.1,3,3,4,10,1,At Risk
12481,23,17,11047.03,4,4,4,12,3,Champions
12482,576,27,21941.72,1,4,4,9,3,Champions
12483,17,23,4031.3300000000004,4,4,4,12,3,Champions
12484,35,13,5506.85,3,4,4,11,3,Champions
12485,529,1,708.1,1,1,2,4,2,Lost
12486,432,1,917.28,1,1,3,5,2,Lost
12487,731,2,259.8,1,1,1,3,2,Lost
12488,10,3,1244.66,4,2,3,9,1,At Risk
12489,336,1,298.93,2,1,1,4,2,Lost
12490,5,21,8759.64,4,4,4,12,3,Champions
12491,39,1,424.40000000000003,3,1,2,6,0,New / Promising
12492,63,3,607.21,3,2,2,7,0,New / Promising
12493,166,3,398.79,2,2,2,6,0,New / Promising
12494,10,17,1491.52,4,4,3,11,3,Champions
12495,635,2,243.4,1,1,1,3,2,Lost
12496,620,2,54.09,1,1,1,3,2,Lost
12497,82,4,5959.75,3,3,4,10,1,At Risk
12498,21,3,349.70000000000005,4,2,2,8,0,New / Promising
12499,560,1,357.72,1,1,2,4,2,Lost
12500,23,24,5494.3099999999995,4,4,4,12,3,Champions
12501,315,2,1945.68,2,1,3,6,1,At Risk
12502,96,5,2995.87,2,3,4,9,1,At Risk
12503,584,1,896.0,1,1,3,5,2,Lost
12504,18,6,321.0,4,3,1,8,1,At Risk
12505,393,2,744.5,1,1,2,4,2,Lost
12506,233,1,73.5,2,1,1,4,0,New / Promising
12507,134,5,1461.31,2,3,3,8,1,At Risk
12508,26,2,398.27,3,1,2,6,0,New / Promising
12509,284,1,158.5,2,1,1,4,0,New / Promising
12510,143,9,2989.33,2,4,4,10,1,At Risk
12511,415,2,3065.77,1,1,4,6,2,Lost
12512,66,2,138.03,3,1,1,5,0,New / Promising
12513,85,2,532.79,3,1,2,6,0,New / Promising
12514,267,2,1597.76,2,1,3,6,1,At Risk
12515,353,1,278.7,2,1,1,4,2,Lost
12516,78,4,2288.62,3,3,4,10,1,At Risk
12517,28,5,2284.89,3,3,4,10,1,At Risk
12518,1,5,1840.89,4,3,3,10,1,At Risk
12519,64,3,605.19,3,2,2,7,0,New / Promising
12520,79,6,2294.51,3,3,4,10,1,At Risk
12521,143,1,545.68,2,1,2,5,0,New / Promising
12522,39,2,156.72,3,1,1,5,0,New / Promising
12523,2,30,3896.85,4,4,4,12,3,Champions
12524,9,18,9759.36,4,4,4,12,3,Champions
12525,491,8,745.1800000000001,1,3,2,6,2,Lost
12526,1,3,1172.66,4,2,3,9,1,At Risk
12527,82,5,717.51,3,3,2,8,1,At Risk
12528,9,8,1634.28,4,3,3,10,1,At Risk
12529,523,2,311.78000000000003,1,1,1,3,2,Lost
12530,60,11,3329.86,3,4,4,11,1,At Risk
12531,15,3,1737.05,4,2,3,9,1,At Risk
12532,30,1,313.83000000000004,3,1,1,5,0,New / Promising
12533,619,6,1005.99,1,3,3,7,2,Lost
12534,131,1,981.18,2,1,3,6,0,New / Promising
12535,92,2,716.35,3,2,2,7,0,New / Promising
12536,8,2,4151.26,4,2,4,10,1,At Risk
12537,409,1,612.94,1,1,2,4,2,Lost
12538,29,2,640.45,3,2,2,7,0,New / Promising
12539,22,7,11186.75,4,3,4,11,3,Champions
12540,20,34,19159.29,4,4,4,12,3,Champions
12541,30,3,841.18,3,2,2,7,1,At Risk
12542,484,4,423.38,1,3,2,6,2,Lost
12543,448,1,840.25,1,1,2,4,2,Lost
12544,30,2,299.7,3,2,1,6,0,New / Promising
12545,75,2,832.39,3,2,2,7,0,New / Promising
12546,47,3,1001.5,3,2,3,8,1,At Risk
